advertiser_category,device_type,spend,CTR,vcr
Automotive,tablet-app,27.602081921739124,0.009260608965654556,0.565157382632437
Health & Fitness,tablet-app,74.5837307988957,0.009123085614438515,0.5377605004198868
Arts & Entertainment,mobile-app,92.44213666492621,0.008611007161564956,0.5922385896678137
Travel,mobile-app,173.0010482152246,0.007879411697974289,0.5956534181984938
Health & Fitness,mobile-app,260.7443476007866,0.0074981606379220375,0.5674958012010647
Education,tablet-app,17.605906621475395,0.007491078459779906,0.5670306447279675
Automotive,mobile-app,39.10976031472302,0.006896028465325602,0.620887188729634
Food & Drink,tablet-app,29.991455773127726,0.006802493886995701,0.585469644255906
Real Estate,tablet-app,3.898430185332251,0.006711045527146057,0.4689954917540294
Home & Garden,tablet-app,11.190634103613657,0.006705503659093824,0.5118664855211713
